lng,lat,MMSI
121.455493,37.5957,412020540
121.45544,37.595733,412020540
121.455373,37.595793,412020540
121.455307,37.595847,412020540
121.45524,37.595883,412020540
121.455173,37.59594,412020540
121.455093,37.595983,412020540
121.455027,37.596033,412020540
121.454973,37.596073,412020540
121.45492,37.59611,412020540
121.454867,37.596143,412020540
121.4548,37.596177,412020540
121.454733,37.596203,412020540
121.45468,37.596247,412020540
121.454613,37.596277,412020540
121.45456,37.596313,412020540
121.454493,37.59635,412020540
121.454427,37.596383,412020540
121.45436,37.59642,412020540
121.45428,37.596477,412020540
121.454213,37.59653,412020540
121.45416,37.596573,412020540
121.454107,37.59661,412020540
121.454053,37.596653,412020540
121.453973,37.596713,412020540
121.453907,37.59677,412020540
121.45384,37.596837,412020540
121.45376,37.596897,412020540
121.45372,37.59695,412020540
121.453653,37.59701,412020540
121.453587,37.597067,412020540
121.453533,37.597113,412020540
121.45348,37.597173,412020540
121.453373,37.597273,412020540
121.453307,37.59734,412020540
121.453253,37.59741,412020540
121.453213,37.59747,412020540
121.45316,37.597543,412020540
121.453133,37.597613,412020540
121.453093,37.597677,412020540
121.453053,37.597753,412020540
121.453027,37.597823,412020540
121.453013,37.5979,412020540
121.453,37.597973,412020540
121.452987,37.598057,412020540
121.45296,37.59813,412020540
121.45296,37.598207,412020540
121.452947,37.598293,412020540
121.452947,37.598367,412020540
121.452947,37.59844,412020540
121.45296,37.598517,412020540
121.452987,37.598583,412020540
121.453,37.598663,412020540
121.453027,37.59874,412020540
121.453067,37.5988,412020540
121.45308,37.598857,412020540
121.453107,37.59892,412020540
121.453147,37.599,412020540
121.453173,37.599057,412020540
121.453213,37.599127,412020540
121.453253,37.59919,412020540
121.45328,37.599243,412020540
121.453307,37.599317,412020540
121.453333,37.599387,412020540
121.453387,37.59944,412020540
121.4534,37.599493,412020540
121.453453,37.599567,412020540
121.45348,37.599647,412020540
121.45352,37.599717,412020540
121.453573,37.59985,412020540
121.4536,37.599903,412020540
121.453613,37.599963,412020540
121.453653,37.600033,412020540
121.453667,37.60009,412020540
121.453693,37.60016,412020540
121.453693,37.600213,412020540
121.453733,37.60033,412020540
121.453733,37.600383,412020540
121.453747,37.600437,412020540
121.453747,37.600517,412020540
121.453747,37.60058,412020540
121.453733,37.600643,412020540
121.45372,37.600713,412020540
121.45368,37.600787,412020540
121.453653,37.600847,412020540
121.453613,37.6009,412020540
121.453573,37.60096,412020540
121.45352,37.601027,412020540
121.453467,37.60108,412020540
121.453427,37.601133,412020540
121.453373,37.601197,412020540
121.45332,37.60125,412020540
121.453253,37.601293,412020540
121.453187,37.601307,412020540
121.453133,37.60131,412020540
121.453013,37.601303,412020540
121.452733,37.601323,412020540
121.452667,37.601337,412020540
121.452587,37.601357,412020540
121.45252,37.60138,412020540
121.452467,37.60141,412020540
121.452413,37.601427,412020540
121.45232,37.60145,412020540
121.452267,37.601467,412020540
121.452213,37.601477,412020540
121.452147,37.601493,412020540
121.452067,37.601513,412020540
121.451987,37.601533,412020540
121.451933,37.601547,412020540
121.45188,37.601567,412020540
121.451827,37.60157,412020540
121.451773,37.60158,412020540
121.451707,37.601587,412020540
121.4516,37.601577,412020540
121.451547,37.601593,412020540
